order_no,booking_time,pickup_time,drop_off_time,driver_id,booking_pickup_latitude,booking_pickup_longitude,booking_destination_latitude,booking_destination_longitude,status,fare,surge_multiplier,customer_id,discount_amt,pickup_s2id_15,dropoff_s2id_15,pickup_s2id_14,dropoff_s2id_14,pickup_s2id_13,dropoff_s2id_13,trip_id,n_order,n_trip,n_cancel,time_period,weekend,wait_time_x,travel_time_x,wait_time_y,travel_time_y
RB-3043132195,2019-11-23 20:52:28,,2019-11-23 20:54:30,700659557.0,1.2513,103.81782,1.331852,103.9463505,3,2010,1.100000023841858,110040,0.0,3592214442328195072,3592250936665309184,3592214443401936896,3592250933444083712,3592214456286838784,3592250946328985600,1,3,0,3,pm_peak,1,,,,
RB-3043138556,2019-11-23 20:54:38,,2019-11-23 20:54:49,700599009.0,1.2513,103.81782,1.331852,103.9463505,3,2010,1.100000023841858,110040,0.0,3592214442328195072,3592250936665309184,3592214443401936896,3592250933444083712,3592214456286838784,3592250946328985600,1,3,0,3,pm_peak,1,,,,
RB-3043141638,2019-11-23 20:55:42,,2019-11-23 20:56:50,700671081.0,1.2513,103.81782,1.331852,103.9463505,3,2010,1.100000023841858,110040,0.0,3592214442328195072,3592250936665309184,3592214443401936896,3592250933444083712,3592214456286838784,3592250946328985600,1,3,0,3,pm_peak,1,,,,
RB-2989771706,2019-11-10 03:19:04,2019-11-10 03:31:42,2019-11-10 03:50:36,700715195.0,1.283815,103.844917,1.355648,103.987215,1,2700,1.2999999523162842,110193,0.0,3592211195332919296,3592250232290672640,3592211196406661120,3592250229069447168,3592211192111693824,3592250224774479872,2,1,1,0,midnight,1,0 days 00:12:38,0 days 00:18:54,0 days 00:12:38,0 days 00:18:54
RB-3049168658,2019-11-25 18:01:26,2019-11-25 18:07:08,2019-11-25 18:24:12,700265748.0,1.290407,103.834763,1.319434,103.817968,1,1100,1.0,110227,0.0,3592211815955693568,3592212254042357760,3592211814881951744,3592212252968615936,3592211810586984448,3592212257263583232,3,1,1,0,pm_peak,0,0 days 00:05:42,0 days 00:17:04,0 days 00:05:42,0 days 00:17:04
RB-3049293266,2019-11-25 18:24:46,,2019-11-25 18:29:06,700402631.0,1.319434,103.817968,1.374059,103.766313,3,1200,1.0,110227,0.0,3592212254042357760,3592203054222409728,3592212252968615936,3592203053148667904,3592212257263583232,3592203048853700608,4,4,1,3,pm_peak,0,0 days 00:14:30,0 days 00:23:20,0 days 00:14:30,0 days 00:23:20
RB-3049314149,2019-11-25 18:29:09,,2019-11-25 18:31:29,700402631.0,1.319434,103.817968,1.374059,103.766313,3,1200,1.0,110227,0.0,3592212254042357760,3592203054222409728,3592212252968615936,3592203053148667904,3592212257263583232,3592203048853700608,4,4,1,3,pm_peak,0,0 days 00:14:30,0 days 00:23:20,0 days 00:14:30,0 days 00:23:20
RB-3049325933,2019-11-25 18:31:34,,2019-11-25 18:31:47,700403276.0,1.319434,103.817968,1.374059,103.766313,3,1200,1.0,110227,0.0,3592212254042357760,3592203054222409728,3592212252968615936,3592203053148667904,3592212257263583232,3592203048853700608,4,4,1,3,pm_peak,0,0 days 00:14:30,0 days 00:23:20,0 days 00:14:30,0 days 00:23:20
RB-3049327725,2019-11-25 18:31:57,2019-11-25 18:39:16,2019-11-25 19:02:36,700624515.0,1.319434,103.817968,1.374059,103.766313,1,1200,1.0,110227,0.0,3592212254042357760,3592203054222409728,3592212252968615936,3592203053148667904,3592212257263583232,3592203048853700608,4,4,1,3,pm_peak,0,0 days 00:14:30,0 days 00:23:20,0 days 00:14:30,0 days 00:23:20
RB-3057817272,2019-11-27 21:28:14,,2019-11-27 21:29:49,,1.275835,103.844282,1.290407,103.834763,2,880,1.8,110227,0.0,3592211607649779712,3592211815955693568,3592211608723521536,3592211814881951744,3592211604428554240,3592211810586984448,5,2,1,1,pm_peak,0,0 days 00:09:38,0 days 00:10:40,0 days 00:09:38,0 days 00:10:40
RB-3057821823,2019-11-27 21:29:52,2019-11-27 21:37:52,2019-11-27 21:48:32,700130007.0,1.275835,103.844282,1.290407,103.834763,1,880,1.8,110227,0.0,3592211607649779712,3592211815955693568,3592211608723521536,3592211814881951744,3592211604428554240,3592211810586984448,5,2,1,1,pm_peak,0,0 days 00:09:38,0 days 00:10:40,0 days 00:09:38,0 days 00:10:40
RB-3070353534,2019-11-30 23:00:48,,2019-11-30 23:02:21,,1.360881,103.990073,1.370955045,103.9419422,2,1670,1.5,110471,0.0,3592250215110803456,3592251424144097280,3592250211889577984,3592251423070355456,3592250224774479872,3592251427365322752,6,1,0,1,pm_peak,1,,,,
RB-3068342851,2019-11-30 14:35:11,,2019-11-30 14:37:46,700268225.0,1.295391,103.851825,1.30723,103.835588,3,920,1.2,110893,0.0,3592211846020464640,3592211770858536960,3592211849241690112,3592211771932278784,3592211844946722816,3592211776227246080,7,2,0,2,day_nonpeak,1,,,,
RB-3068354805,2019-11-30 14:38:14,,2019-11-30 14:39:24,700287537.0,1.295391,103.851825,1.30723,103.835588,3,920,1.2,110893,0.0,3592211846020464640,3592211770858536960,3592211849241690112,3592211771932278784,3592211844946722816,3592211776227246080,7,2,0,2,day_nonpeak,1,,,,
RB-3069282988,2019-11-30 18:34:53,,2019-11-30 18:38:16,,1.307141,103.835533,1.304013,103.874843,4,1430,1.5,110893,0.0,3592211770858536960,3592210355666812928,3592211771932278784,3592210354593071104,3592211776227246080,3592210367477972992,8,2,0,2,pm_peak,1,,,,
RB-3069298083,2019-11-30 18:38:44,,2019-11-30 18:54:02,700398410.0,1.307088,103.835285,1.304013,103.874843,3,1430,1.5,110893,0.0,3592211770858536960,3592210355666812928,3592211771932278784,3592210354593071104,3592211776227246080,3592210367477972992,8,2,0,2,pm_peak,1,,,,
RB-2990361074,2019-11-10 10:46:25,2019-11-10 10:58:41,2019-11-10 11:19:01,700160229.0,1.3495399756778714,103.74267507344484,1.2806377,103.8460972,1,1810,1.100000023841858,110944,0.0,3592201505886699520,3592211197480402944,3592201506960441344,3592211196406661120,3592201502665474048,3592211192111693824,9,1,1,0,day_nonpeak,1,0 days 00:12:16,0 days 00:20:20,0 days 00:12:16,0 days 00:20:20
RB-3005046755,2019-11-14 08:11:01,2019-11-14 08:13:46,2019-11-14 08:30:39,700264215.0,1.2745667554084392,103.84075943380596,1.3034685,103.7965412,1,750,1.0,110944,0.0,3592211603354812416,3592212518182846464,3592211600133586944,3592212519256588288,3592211604428554240,3592212532141490176,10,1,1,0,am_peak,0,0 days 00:02:45,0 days 00:16:53,0 days 00:02:45,0 days 00:16:53
RB-2972474325,2019-11-05 18:34:58,2019-11-05 18:44:15,2019-11-05 18:59:35,700158288.0,1.2801,103.845,1.301025,103.860531,1,1060,1.7000000476837158,110983,0.0,3592211197480402944,3592211901855039488,3592211196406661120,3592211900781297664,3592211192111693824,3592211913666199552,11,1,1,0,pm_peak,0,0 days 00:09:17,0 days 00:15:20,0 days 00:09:17,0 days 00:15:20
RB-2972839724,2019-11-05 19:43:51,2019-11-05 19:49:18,2019-11-05 19:58:53,700557433.0,1.301025,103.860531,1.300886,103.838358,1,800,1.2999999523162842,110983,0.0,3592211901855039488,3592211764416086016,3592211900781297664,3592211763342344192,3592211913666199552,3592211776227246080,12,1,1,0,pm_peak,0,0 days 00:05:27,0 days 00:09:35,0 days 00:05:27,0 days 00:09:35
RB-2973439378,2019-11-05 22:08:10,2019-11-05 22:22:21,2019-11-05 22:30:31,700169377.0,1.300548,103.838474,1.280483,103.850593,1,1100,1.7000000476837158,110983,0.0,3592211762268602368,3592211199627886592,3592211763342344192,3592211196406661120,3592211776227246080,3592211192111693824,13,1,1,0,pm_peak,0,0 days 00:14:11,0 days 00:08:10,0 days 00:14:11,0 days 00:08:10
RB-2973628601,2019-11-05 23:40:35,2019-11-05 23:44:44,2019-11-05 23:53:37,700292137.0,1.280483,103.850593,1.301025,103.860531,1,1340,2.25,110983,0.0,3592211199627886592,3592211901855039488,3592211196406661120,3592211900781297664,3592211192111693824,3592211913666199552,14,1,1,0,pm_peak,0,0 days 00:04:09,0 days 00:08:53,0 days 00:04:09,0 days 00:08:53
RB-3066714558,2019-11-30 00:56:43,,2019-11-30 01:23:46,700259938.0,1.360747,103.990306,1.284656,103.833949,1,3750,2.25,110983,0.0,3592250212963319808,3592211652746936320,3592250211889577984,3592211651673194496,3592250224774479872,3592211638788292608,15,1,1,0,midnight,1,,,,
